,A,B
v3582,0.0,0.8
v3583,1.0,0.0
v3584,0.1,0.5
v3585,0.5,1.0
v3586,0.4,0.4
v3587,0.8,0.2
v3588,0.0,1.0
v3589,0.7,0.0
v3590,0.8,0.3
v3591,0.9,0.0
v3592,0.0,1.0
v3593,0.0,1.0
v3594,0.5,0.8
v3595,0.0,0.6
v3596,0.3,0.7
v3597,0.1,0.6
v3598,1.0,0.0
v3599,1.0,0.3
v3600,0.7,0.0
v3601,0.0,0.0
v3602,0.1,1.0
v3603,0.1,0.9
v3604,0.8,0.2
v3605,0.5,0.6
v3606,0.6,0.4
v3607,0.1,0.7
v3608,0.4,0.8
v3609,0.5,0.5
v3610,0.1,0.8
v3611,0.1,0.3
v3612,0.8,0.2
v3613,0.4,0.8
v3614,0.2,0.8
v3615,0.6,0.3
v3616,0.8,0.0
v3617,0.5,0.0
v3618,0.4,0.6
v3619,0.1,0.6
v3620,0.6,0.7
v3621,0.5,0.5
v3622,0.0,0.7
v3623,0.5,0.5
v3624,0.5,0.5
v3625,0.5,0.4
v3626,0.8,0.8
v3627,0.5,0.6
v3628,0.0,1.0
v3629,1.0,0.0
v3630,0.9,0.1
v3631,1.0,0.0
v3632,0.0,0.8
v3633,0.7,0.0
v3634,0.4,0.7
v3635,1.0,0.0
v3636,0.5,0.5
v3637,0.0,1.0
v3638,0.2,1.0
v3639,0.7,0.3
v3640,0.8,0.5
v3641,0.6,0.4
v3642,0.7,0.3
v3643,0.1,0.7
v3644,0.0,1.0
v3645,1.0,0.2
v3646,0.9,0.4
v3647,0.7,0.3
v3648,0.3,0.9
v3649,0.5,0.5
v3650,0.0,0.0
v3651,0.5,0.5
v3652,0.9,0.0
v3653,0.7,0.3
v3654,0.0,0.7
v3655,0.5,0.7
v3656,0.3,1.0
v3657,0.0,1.0
v3658,1.0,0.5
v3659,0.8,0.2
v3660,0.5,0.5
v3661,0.3,0.9
v3662,0.2,0.7
v3663,0.8,0.0
v3664,0.3,0.8
v3665,0.9,0.5
v3666,0.0,0.8
v3667,0.5,0.4
v3668,0.7,0.1
v3669,0.1,0.9
v3670,0.7,0.1
v3671,0.6,0.8
v3672,0.4,0.0
v3673,0.7,0.0
v3674,0.9,0.1
v3675,0.5,0.8
v3676,0.6,0.5
v3677,1.0,0.0
v3678,0.0,0.8
v3679,1.0,0.0
v3680,0.0,0.8
v3681,0.4,0.2
v3682,0.5,0.6
v3683,0.9,0.2
v3684,0.5,0.5
v3685,0.9,0.0
v3686,0.0,0.4
v3687,0.9,0.2
v3688,0.5,0.5
v3689,0.1,0.9
v3690,0.5,0.5
v3691,0.0,1.0
v3692,0.9,0.1
v3693,0.9,0.0
v3694,0.0,0.7
v3695,0.5,0.5
v3696,0.2,1.0
v3697,1.0,0.5
v3698,0.1,1.0
v3699,0.1,0.5
v3700,0.8,0.4
v3701,0.8,0.2
v3702,0.0,0.9
v3703,0.0,0.7
v3704,0.8,0.1
v3705,1.0,0.0
v3706,0.1,0.9
v3707,0.0,1.0
v3708,0.7,1.0
v3709,0.1,0.2
v3710,0.5,0.4
v3711,0.4,1.0
v3712,0.7,0.9
v3713,0.5,0.5
v3714,0.5,0.8
v3715,0.8,0.7
v3716,0.0,0.8
v3717,0.4,0.4
v3718,0.2,0.8
v3719,0.5,0.5
v3720,0.8,0.0
v3721,0.0,1.0
v3722,0.5,0.6
v3723,0.4,0.6
v3724,0.2,0.0
v3725,0.6,0.2
v3726,0.6,0.5
v3727,0.8,0.0
v3728,0.7,0.0
v3729,0.6,0.2
v3730,1.0,0.0
v3731,0.5,0.5
v3732,0.4,0.7
v3733,0.9,0.5
v3734,0.5,0.5
v3735,0.2,1.0
v3736,0.5,0.5
v3737,0.6,0.5
v3738,0.5,0.5
v3739,0.4,0.7
v3740,0.0,0.7
v3741,0.8,0.4
v3742,0.1,0.8
v3743,0.0,0.7
v3744,1.0,0.0
v3745,0.2,0.7
v3746,0.5,0.0
v3747,0.2,0.7
v3748,0.9,0.1
v3749,0.0,1.0
v3750,0.0,0.4
v3751,0.6,0.2
v3752,0.8,0.0
v3753,0.0,1.0
v3754,0.0,0.4
v3755,0.0,0.8
v3756,0.8,0.2
v3757,0.8,0.3
v3758,0.8,0.0
v3759,0.0,0.7
v3760,0.0,1.0
v3761,0.0,0.6
v3762,0.0,1.0
v3763,0.8,0.0
v3764,0.2,0.6
v3765,0.8,0.2
v3766,0.6,0.5
v3767,0.3,0.5
v3768,1.0,0.0
v3769,0.5,0.5
v3770,0.6,0.0
v3771,0.4,0.3
v3772,0.5,0.2
v3773,0.0,0.8
v3774,0.3,0.7
v3775,0.8,0.1
v3776,0.5,0.5
v3777,0.5,0.5
v3778,0.8,0.0
v3779,0.5,0.7
v3780,0.0,0.9
v3781,0.3,0.3
v3782,0.8,0.3
v3783,0.4,0.9
v3784,0.4,1.0
v3785,0.2,1.0
v3786,0.8,0.5
v3787,0.0,1.0
v3788,0.1,0.6
v3789,0.0,1.0
v3790,0.2,0.8
v3791,0.1,0.7
v3792,0.5,0.6
v3793,0.8,0.0
v3794,0.4,0.7
v3795,0.8,0.3
v3796,0.0,1.0
v3797,0.6,0.5
v3798,0.5,1.0
v3799,0.5,0.5
v3800,0.8,0.2
v3801,0.6,0.7
v3802,0.4,0.7
v3803,0.8,0.6
v3804,0.4,0.7
v3805,0.2,0.6
v3806,0.6,0.4
v3807,1.0,0.0
v3808,0.1,0.8
v3809,0.5,0.0
v3810,1.0,0.0
v3811,0.2,0.7
v3812,0.2,0.1
v3813,0.9,0.7
v3814,1.0,0.0
v3815,0.6,0.3
v3816,0.0,0.9
v3817,0.3,0.8
v3818,0.7,0.0
v3819,1.0,0.0
v3820,0.2,0.5
v3821,0.5,0.5
v3822,1.0,1.0
v3823,0.9,0.3
v3824,0.2,0.8
v3825,0.8,0.3
v3826,0.8,0.3
v3827,0.0,0.7
v3828,0.2,0.5
v3829,0.3,0.8
v3830,0.1,1.0
v3831,0.3,0.9
v3832,0.3,1.0
v3833,0.0,0.3
v3834,0.2,0.8
v3835,0.0,1.0
v3836,0.3,0.1
v3837,0.5,0.5
v3838,0.7,0.1
v3839,0.0,0.9
v3840,0.5,0.5
v3841,0.2,0.1
v3842,0.0,1.0
v3843,1.0,0.0
v3844,0.5,0.5
v3845,0.2,0.6
v3846,0.6,0.1
v3847,1.0,0.0
v3848,0.2,0.7
v3849,0.6,1.0
v3850,0.3,0.9
v3851,0.0,0.8
v3852,0.5,0.5
v3853,0.1,0.9
v3854,0.7,0.1
v3855,0.8,0.2
v3856,0.2,0.7
v3857,1.0,0.0
v3858,0.0,0.2
v3859,0.4,0.9
v3860,0.3,1.0
v3861,0.5,0.9
v3862,0.0,1.0
v3863,0.2,0.0
v3864,0.0,0.8
v3865,0.7,0.1
v3866,0.7,0.0
v3867,0.8,0.0
v3868,0.3,0.7
v3869,1.0,0.0
v3870,0.0,0.9
v3871,0.6,0.4
v3872,0.5,0.4
v3873,0.8,0.2
v3874,0.1,0.9
v3875,0.0,0.9
v3876,0.2,0.8
v3877,1.0,0.0
v3878,0.9,0.0
v3879,0.1,0.7
v3880,1.0,0.0
v3881,0.7,0.5
v3882,0.5,0.5
v3883,0.2,0.9
v3884,0.9,0.2
v3885,1.0,0.0
v3886,0.6,0.9
v3887,0.1,1.0
v3888,0.3,0.7
v3889,0.6,0.4
v3890,0.7,0.0
v3891,0.8,0.2
v3892,0.0,0.8
v3893,1.0,0.0
v3894,0.4,0.4
v3895,0.5,0.8
v3896,0.5,0.7
v3897,0.2,0.6
v3898,0.0,0.8
v3899,0.4,0.5
v3900,0.2,0.8
v3901,0.0,0.9
v3902,0.4,0.2
v3903,0.0,0.7
v3904,0.7,0.4
v3905,0.5,0.0
v3906,0.6,0.0
v3907,0.2,0.2
v3908,1.0,0.0
v3909,0.0,1.0
v3910,0.5,0.5
v3911,0.9,0.2
v3912,0.8,0.2
v3913,0.9,0.0
v3914,0.6,1.0
v3915,0.2,0.7
v3916,0.0,0.8
v3917,0.5,0.5
v3918,0.5,0.5
v3919,1.0,0.1
v3920,0.7,0.0
v3921,0.9,0.6
v3922,0.2,0.7
v3923,0.1,0.8
v3924,0.0,0.9
v3925,0.1,0.9
v3926,0.9,0.1
v3927,0.6,0.5
v3928,0.0,0.9
v3929,0.2,0.9
v3930,1.0,0.0
v3931,1.0,0.0
v3932,0.8,0.2
v3933,0.9,0.1
v3934,0.0,1.0
v3935,0.8,0.0
v3936,0.1,0.9
v3937,0.2,1.0
v3938,1.0,0.0
v3939,0.4,0.8
v3940,0.5,0.9
v3941,0.6,0.4
v3942,0.6,0.8
v3943,0.8,0.2
v3944,1.0,0.3
v3945,0.7,0.2
v3946,0.8,0.2
v3947,0.9,0.2
v3948,0.0,0.9
v3949,0.3,0.7
v3950,0.8,0.6
v3951,0.0,1.0
v3952,0.5,0.7
v3953,0.8,0.8
v3954,0.4,0.6
v3955,0.0,0.8
v3956,0.0,0.8
v3957,0.1,0.1
v3958,0.0,1.0
v3959,0.8,0.2
v3960,0.0,0.6
v3961,0.9,0.3
v3962,0.0,0.8
v3963,0.1,0.8
v3964,1.0,0.3
v3965,0.8,0.1
v3966,0.0,1.0
v3967,0.6,0.3
v3968,0.3,0.8
v3969,0.5,0.0
v3970,0.0,0.8
v3971,0.8,0.3
v3972,0.9,0.0
v3973,0.8,0.0
v3974,0.3,0.8
v3975,0.1,1.0
v3976,0.8,0.0
v3977,0.0,1.0
v3978,0.5,0.7
v3979,0.4,0.5
v3980,0.5,0.3
v3981,0.0,0.8
v3982,0.6,0.6
v3983,0.7,0.3
v3984,0.0,1.0
v3985,0.5,0.5
v3986,0.3,0.8
v3987,0.5,0.2
v3988,0.8,0.3
v3989,0.5,0.5
v3990,0.2,1.0
v3991,0.0,1.0
v3992,0.5,0.5
v3993,0.8,0.2
v3994,0.5,0.3
v3995,0.2,0.0
v3996,0.9,0.0
v3997,0.0,0.8
v3998,0.8,0.0
v3999,0.9,0.6
v4000,0.1,0.8
v4001,0.8,0.0
v4002,0.2,0.8
v4003,0.5,1.0
v4004,0.5,0.5
v4005,0.1,0.9
v4006,0.5,0.6
v4007,0.7,0.3
v4008,0.2,1.0
v4009,0.0,1.0
v4010,0.2,0.9
v4011,0.5,0.6
v4012,0.0,0.8
v4013,0.0,1.0
v4014,0.5,0.5
v4015,0.0,0.7
v4016,0.0,0.8
v4017,0.5,0.5
v4018,0.5,0.6
v4019,0.3,0.7
v4020,0.8,0.2
v4021,0.9,0.1
v4022,0.1,0.9
v4023,0.4,0.8
v4024,0.5,0.5
v4025,0.6,0.1
v4026,0.8,0.2
v4027,0.7,0.5
v4028,0.0,0.8
v4029,0.3,0.3
v4030,0.8,0.1
v4031,0.8,0.6
v4032,0.4,0.6
v4033,0.5,0.0
v4034,0.5,0.5
v4035,0.2,1.0
v4036,1.0,0.2
v4037,0.9,0.1
v4038,0.5,0.2
v4039,0.3,0.2
v4040,0.0,0.8
v4041,0.2,1.0
v4042,0.0,0.8
v4043,1.0,0.0
v4044,0.5,0.4
v4045,0.1,0.3
v4046,0.8,0.2
v4047,0.8,0.4
v4048,0.0,0.7
v4049,0.1,0.9
v4050,0.1,1.0
v4051,1.0,0.0
v4052,0.0,0.9
v4053,0.2,0.6
v4054,0.0,0.3
v4055,0.5,0.6
v4056,0.3,1.0
v4057,0.3,0.6
v4058,0.5,0.7
v4059,0.5,0.5
v4060,0.0,1.0
v4061,0.7,0.2
v4062,0.4,0.4
v4063,0.6,0.6
v4064,1.0,0.1
v4065,0.3,0.2
v4066,1.0,0.0
v4067,0.3,0.4
v4068,0.3,0.6
v4069,0.0,0.9
v4070,0.5,0.5
v4071,0.5,0.5
v4072,0.1,0.8
v4073,0.5,0.5
v4074,0.6,0.2
v4075,0.7,0.2
v4076,0.0,0.7
v4077,0.7,0.3
v4078,0.8,0.0
v4079,0.9,0.0
v4080,0.5,0.5
v4081,0.5,0.5
v4082,0.1,1.0
v4083,0.8,0.3
v4084,0.8,0.0
v4085,0.0,1.0
v4086,0.9,0.3
v4087,0.0,0.7
v4088,0.7,0.5
v4089,0.9,0.0
v4090,0.8,0.1
v4091,0.0,0.0
v4092,0.5,0.7
v4093,0.7,0.0
v4094,0.2,0.8
v4095,0.1,0.5
v4096,0.0,0.4
v4097,0.7,0.0
v4098,0.3,0.6
v4099,0.8,0.0
v4100,0.1,0.7
v4101,0.8,0.1
v4102,1.0,0.0
v4103,0.0,0.9
v4104,0.5,0.5
v4105,0.5,0.8
v4106,0.4,0.6
v4107,0.5,0.5
v4108,0.0,1.0
v4109,0.9,0.0
v4110,0.7,0.0
v4111,0.0,0.9
v4112,0.1,0.5
v4113,0.0,0.7
v4114,0.0,0.5
v4115,0.0,0.0
v4116,0.4,0.8
v4117,0.1,0.5
v4118,0.1,0.8
v4119,0.5,0.6
v4120,0.8,0.7
v4121,0.3,0.2
v4122,0.5,0.5
v4123,1.0,0.0
v4124,1.0,0.2
v4125,0.0,0.5
v4126,0.0,0.9
v4127,0.2,0.2
v4128,0.7,0.2
v4129,0.0,1.0
v4130,1.0,0.0
v4131,0.7,0.1
v4132,0.0,1.0
v4133,0.1,0.7
v4134,0.6,0.2
v4135,0.4,1.0
v4136,0.0,1.0
v4137,0.5,0.5
v4138,0.6,0.2
v4139,0.0,1.0
v4140,0.8,0.2
v4141,0.0,1.0
v4142,1.0,0.0
v4143,0.6,0.3
v4144,1.0,0.0
v4145,0.3,0.7
v4146,0.6,0.4
v4147,0.0,1.0
v4148,0.1,0.6
v4149,0.9,0.3
v4150,0.0,1.0
v4151,0.6,0.4
v4152,0.8,0.1
v4153,0.5,0.5
v4154,0.0,0.8
v4155,0.9,0.1
v4156,0.6,0.6
v4157,0.4,0.3
v4158,0.0,1.0
v4159,0.7,0.2
v4160,0.0,0.0
v4161,0.2,0.7
v4162,0.4,0.5
v4163,0.5,0.5
v4164,0.5,0.3
v4165,0.1,0.6
v4166,0.0,1.0
v4167,0.8,0.1
v4168,0.6,0.6
v4169,0.7,0.1
v4170,0.8,
v4171,0.6,0.4
v4172,0.3,0.7
v4173,0.9,0.0
v4174,0.0,1.0
v4175,0.8,0.0
v4176,0.8,0.5
v4177,1.0,0.0
v4178,0.0,1.0
v4179,0.0,1.0
v4180,0.0,0.8
v4181,0.4,0.9
v4182,0.6,0.2
v4183,0.3,0.7
v4184,0.7,0.3
v4185,1.0,0.0
v4186,0.2,1.0
v4187,0.0,0.4
v4188,0.0,0.8
v4189,0.2,0.5
v4190,0.7,0.3
v4191,0.0,0.7
v4192,0.1,0.8
v4193,0.7,0.2
v4194,1.0,0.0
v4195,0.0,1.0
v4196,1.0,0.0
v4197,0.2,0.8
v4198,0.5,0.9
v4199,0.8,0.0
v4200,0.8,0.0
v4201,0.2,0.7
v4202,0.3,0.3
v4203,0.0,0.1
v4204,0.6,0.6
v4205,0.4,1.0
v4206,0.0,0.0
v4207,0.7,0.0
v4208,0.8,0.0
v4209,0.5,0.2
v4210,0.5,0.8
v4211,0.7,0.4
v4212,1.0,0.0
v4213,0.7,0.5
v4214,0.5,0.0
v4215,0.8,0.2
v4216,1.0,0.0
v4217,0.3,0.6
v4218,0.7,0.7
v4219,0.5,0.5
v4220,0.5,0.1
v4221,0.6,0.2
v4222,0.3,0.6
v4223,0.1,0.5
v4224,0.9,0.4
v4225,0.8,0.3
v4226,0.4,0.3
v4227,0.0,1.0
v4228,0.1,0.8
v4229,0.5,0.9
v4230,0.8,0.8
v4231,0.1,0.9
v4232,0.8,0.3
v4233,0.8,0.3
v4234,0.4,0.5
v4235,0.0,0.8
v4236,0.7,0.4
v4237,0.5,0.6
v4238,0.0,1.0
v4239,0.8,0.0
v4240,0.0,0.0
v4241,0.4,0.4
v4242,0.7,0.1
v4243,0.0,0.2
v4244,0.5,0.8
v4245,0.8,0.5
v4246,0.3,0.1
v4247,1.0,0.0
v4248,1.0,0.0
v4249,0.8,0.4
v4250,0.0,0.6
v4251,0.0,0.9
v4252,0.2,0.8
v4253,0.7,0.5
v4254,0.1,1.0
v4255,1.0,0.4
v4256,0.4,0.4
v4257,0.5,0.5
v4258,0.0,0.6
v4259,0.5,0.7
v4260,0.3,0.8
v4261,0.0,0.5
v4262,0.3,0.4
v4263,0.1,0.5
v4264,0.8,0.1
v4265,0.8,0.2
v4266,0.2,0.4
v4267,0.6,0.9
v4268,0.0,0.8
v4269,0.0,1.0
v4270,0.0,0.7
v4271,0.0,0.8
v4272,0.0,0.0
v4273,0.0,0.7
v4274,0.3,0.8
v4275,0.1,1.0
v4276,0.0,0.7
v4277,0.0,1.0
v4278,0.1,0.8
v4279,0.0,1.0
v4280,0.7,0.3
v4281,0.9,0.0
v4282,0.8,0.2
v4283,0.7,0.0
v4284,0.5,0.3
v4285,1.0,0.0
v4286,0.8,0.7
v4287,1.0,
v4288,0.5,0.5
v4289,0.5,0.5
v4290,0.8,0.5
v4291,0.2,1.0
v4292,1.0,0.0
v4293,0.0,1.0
v4294,0.2,0.3
v4295,1.0,0.0
v4296,0.5,0.0
v4297,0.0,0.8
v4298,0.2,0.8
v4299,0.2,0.8
v4300,0.4,0.3
v4301,0.8,0.1
v4302,0.5,0.5
v4303,0.7,0.2
v4304,0.8,0.2
v4305,1.0,0.0
v4306,0.5,0.3
v4307,0.3,0.8
v4308,0.9,0.0
v4309,0.0,0.0
v4310,1.0,0.3
v4311,0.7,0.5
v4312,0.0,1.0
v4313,0.3,0.7
v4314,0.7,0.0
v4315,1.0,0.0
v4316,0.6,0.3
v4317,0.4,0.2
v4318,0.2,0.8
v4319,0.2,0.2
v4320,0.1,0.5
v4321,0.0,0.8
v4322,0.8,0.3
v4323,0.0,0.6
v4324,0.0,1.0
v4325,0.1,0.8
v4326,0.2,0.7
v4327,0.1,0.6
v4328,0.4,0.1
v4329,1.0,0.0
v4330,0.8,0.5
v4331,0.6,0.0
v4332,0.2,0.8
v4333,0.0,0.6
v4334,0.6,0.3
v4335,0.8,0.5
v4336,0.9,0.2
v4337,0.0,1.0
v4338,0.0,1.0
v4339,0.2,0.2
v4340,0.3,0.6
v4341,1.0,0.0
v4342,0.0,1.0
v4343,0.3,0.8
v4344,0.3,0.8
v4345,0.8,0.5
v4346,0.9,0.1
v4347,0.3,0.7
v4348,0.5,0.5
v4349,0.1,0.2
v4350,0.1,0.9
v4351,0.3,0.7
v4352,0.0,0.3
v4353,0.8,0.0
v4354,0.8,0.0
v4355,0.0,0.9
v4356,0.8,0.5
v4357,0.5,0.5
v4358,0.9,0.0
v4359,0.7,0.8
v4360,0.2,0.9
v4361,0.8,0.7
v4362,0.0,0.5
v4363,0.9,0.4
v4364,1.0,0.8
v4365,0.6,0.3
v4366,0.2,0.0
v4367,0.7,0.0
v4368,1.0,0.0
v4369,0.6,0.9
v4370,0.5,0.5
v4371,0.0,0.7
v4372,0.7,0.6
v4373,0.3,0.3
v4374,0.9,0.0
v4375,0.6,0.6
v4376,1.0,0.0
v4377,0.0,1.0
v4378,0.9,0.0
v4379,0.5,0.6
v4380,0.1,0.8
v4381,0.8,0.3
v4382,0.5,0.3
v4383,0.6,0.7
v4384,0.0,1.0
v4385,0.7,0.1
v4386,0.2,0.6
v4387,0.2,0.7
v4388,1.0,0.7
v4389,1.0,0.0
v4390,0.1,0.9
v4391,0.1,0.2
v4392,0.5,1.0
v4393,0.5,0.5
v4394,0.7,0.3
v4395,0.0,0.7
v4396,0.0,1.0
v4397,0.7,0.0
v4398,0.1,0.6
v4399,0.4,0.7
v4400,0.4,0.7
v4401,0.5,0.7
v4402,0.0,1.0
v4403,0.0,1.0
v4404,1.0,0.0
v4405,0.0,0.9
v4406,0.0,1.0
v4407,0.0,0.6
v4408,0.0,0.7
v4409,0.0,1.0
v4410,0.2,0.7
v4411,0.0,1.0
v4412,0.4,0.8
v4413,1.0,0.5
v4414,0.2,0.8
v4415,1.0,0.4
v4416,0.2,1.0
v4417,0.0,0.0
v4418,0.9,0.3
v4419,1.0,0.0
v4420,0.1,0.6
v4421,0.9,0.0
v4422,0.5,1.0
v4423,0.7,0.0
v4424,0.2,1.0
v4425,0.8,0.0
v4426,0.5,0.5
v4427,1.0,0.0
v4428,0.7,0.1
v4429,0.5,0.5
v4430,0.0,1.0
v4431,0.7,0.3
v4432,1.0,0.2
v4433,0.8,0.1
v4434,1.0,0.1
v4435,0.6,0.2
v4436,0.9,0.1
v4437,0.0,1.0
v4438,1.0,0.0
v4439,0.0,0.9
v4440,1.0,0.0
v4441,0.0,0.7
v4442,0.0,0.7
v4443,1.0,0.1
v4444,0.0,0.8
v4445,0.0,0.9
v4446,0.8,0.4
v4447,0.9,0.0
v4448,1.0,0.0
v4449,0.0,0.8
v4450,0.5,0.7
v4451,0.0,0.7
v4452,0.0,1.0
v4453,0.7,0.0
v4454,0.0,0.5
v4455,0.0,1.0
v4456,0.4,0.7
v4457,0.0,1.0
v4458,0.2,0.1
v4459,1.0,0.0
v4460,0.0,1.0
v4461,0.5,0.0
v4462,0.7,0.7
v4463,0.9,0.1
v4464,0.3,0.7
v4465,0.1,0.9
v4466,0.4,0.7
v4467,0.4,0.2
v4468,0.5,0.9
v4469,0.7,0.2
v4470,0.0,1.0
v4471,0.5,0.5
v4472,0.0,1.0
v4473,0.3,0.7
v4474,1.0,0.0
v4475,0.5,0.4
v4476,0.1,0.7
v4477,0.7,0.4
v4478,0.5,0.7
v4479,0.0,0.9
v4480,1.0,0.8
v4481,0.0,0.5
v4482,0.8,0.6
v4483,0.3,1.0
v4484,0.0,0.6
v4485,0.0,0.5
v4486,0.6,0.1
v4487,0.4,0.3
v4488,0.3,0.6
v4489,0.5,0.5
v4490,0.0,0.6
v4491,0.0,0.0
v4492,0.6,0.3
v4493,0.2,0.6
v4494,0.1,0.8
v4495,1.0,0.2
v4496,0.6,0.8
v4497,0.6,0.0
v4498,0.6,0.4
v4499,0.8,0.2
v4500,0.0,0.8
v4501,0.0,0.9
v4502,0.5,0.9
v4503,1.0,0.0
v4504,0.0,1.0
v4505,0.1,1.0
v4506,0.2,0.3
v4507,1.0,0.0
v4508,0.5,0.5
v4509,0.5,0.5
v4510,0.2,0.8
v4511,0.5,0.3
v4512,0.0,1.0
v4513,0.0,0.8
v4514,1.0,0.0
v4515,0.0,0.4
v4516,0.7,0.3
v4517,0.7,0.0
v4518,0.2,0.2
v4519,0.0,1.0
v4520,0.5,0.5
v4521,0.0,0.8
v4522,1.0,0.0
v4523,0.5,0.0
v4524,0.9,0.1
v4525,0.4,0.8
v4526,0.1,0.6
v4527,0.0,0.7
v4528,0.1,0.6
v4529,0.9,0.1
v4530,0.0,1.0
v4531,0.0,1.0
v4532,0.6,0.0
v4533,0.5,0.7
v4534,0.5,0.3
v4535,0.4,0.6
v4536,0.3,0.9
v4537,0.4,0.7
v4538,0.2,0.7
v4539,0.8,0.0
v4540,0.0,1.0
v4541,0.8,0.0
v4542,1.0,0.3
v4543,0.5,0.0
v4544,1.0,0.0
v4545,0.0,0.9
v4546,0.6,0.4
v4547,0.8,0.1
v4548,0.0,0.0
v4549,0.5,0.5
v4550,0.0,1.0
v4551,0.5,0.5
v4552,0.0,0.8
v4553,0.4,0.7
v4554,0.7,0.2
v4555,0.0,0.8
v4556,0.4,0.7
v4557,1.0,0.0
v4558,0.9,0.0
v4559,0.8,0.8
v4560,0.7,0.3
v4561,0.9,0.0
v4562,0.2,0.7
v4563,0.6,0.2
v4564,0.1,0.8
v4565,0.1,1.0
v4566,0.9,0.1
v4567,0.5,0.5
v4568,0.0,1.0
v4569,0.1,0.8
v4570,0.1,0.5
v4571,0.0,0.8
v4572,0.7,0.6
v4573,1.0,0.0
v4574,0.0,0.4
v4575,0.3,0.2
v4576,0.2,0.7
v4577,0.0,0.8
v4578,0.9,0.1
v4579,0.8,0.3
v4580,0.7,0.6
v4581,0.5,0.2
v4582,0.4,0.4
v4583,1.0,0.1
v4584,0.3,0.7
v4585,0.5,0.5
v4586,0.6,0.1
v4587,0.5,0.5
v4588,0.0,1.0
v4589,0.5,0.5
v4590,0.0,1.0
v4591,1.0,0.1
v4592,0.0,1.0
v4593,0.4,0.7
v4594,0.7,0.0
v4595,0.9,0.2
v4596,1.0,0.0
v4597,1.0,0.1
v4598,0.4,0.8
v4599,0.8,0.2
v4600,0.7,0.5
v4601,0.2,0.6
v4602,0.6,0.8
v4603,0.1,
v4604,0.8,0.5
v4605,0.0,0.0
v4606,0.1,0.8
v4607,0.2,0.8
v4608,0.0,1.0
v4609,0.7,0.3
v4610,0.4,0.5
v4611,0.5,1.0
v4612,0.8,0.4
v4613,0.6,0.0
v4614,0.8,0.3
v4615,0.2,0.7
v4616,0.5,0.5
v4617,0.9,0.1
v4618,0.0,1.0
v4619,0.9,0.1
v4620,0.5,0.5
v4621,0.5,0.7
v4622,0.7,0.0
v4623,0.5,0.5
v4624,0.2,0.5
v4625,0.3,0.3
v4626,0.8,0.4
v4627,0.5,0.4
v4628,0.2,0.2
v4629,0.1,0.8
v4630,0.6,0.5
v4631,0.9,0.0
v4632,1.0,0.0
v4633,0.0,0.7
v4634,0.5,0.5
v4635,0.5,0.5
v4636,0.5,0.5
v4637,0.4,0.7
v4638,0.2,0.7
v4639,0.0,1.0
v4640,1.0,0.0
v4641,1.0,0.0
v4642,0.6,0.0
v4643,0.0,0.9
v4644,0.1,0.0
v4645,0.0,1.0
v4646,0.8,0.1
v4647,0.8,0.1
v4648,1.0,1.0
v4649,0.5,0.5
v4650,0.6,0.6
v4651,1.0,0.0
v4652,0.2,1.0
v4653,0.8,0.3
v4654,0.2,0.8
v4655,1.0,0.0
v4656,0.1,0.6
v4657,0.5,0.5
v4658,0.5,0.8
v4659,0.3,0.7
v4660,0.4,0.2
v4661,0.7,0.3
v4662,0.3,0.7
v4663,0.5,0.4
v4664,1.0,0.0
v4665,0.8,0.2
v4666,0.5,0.7
v4667,0.5,0.5
v4668,0.2,0.9
v4669,0.5,0.5
v4670,1.0,0.1
v4671,0.0,0.7
v4672,0.2,0.7
v4673,0.7,0.3
v4674,0.8,0.5
v4675,0.3,0.9
v4676,0.2,0.8
v4677,0.2,0.7
v4678,0.9,0.1
v4679,0.9,0.1
v4680,0.8,0.4
v4681,0.4,1.0
v4682,0.1,0.7
v4683,0.2,0.6
v4684,0.6,0.2
v4685,0.0,0.8
v4686,0.6,0.3
v4687,0.0,1.0
v4688,0.0,0.7
v4689,0.2,0.8
v4690,0.7,0.3
v4691,0.0,0.6
v4692,0.0,0.8
