,A,B,C,F
v2155,0.8,0.2,0.6,0.0
v2156,0.8,1.0,0.6,0.6
v2157,0.8,0.3,0.8,0.2
v2158,1.0,0.6,0.7,0.4
v2159,0.6,0.5,0.5,0.5
v2160,1.0,0.5,0.5,0.5
v2161,0.6,0.9,0.6,0.9
v2162,0.2,0.6,0.2,0.5
v2163,0.4,0.6,0.5,0.5
v2164,0.5,0.0,0.6,0.0
v2165,0.2,0.8,0.1,0.1
v2166,0.8,0.7,0.8,0.3
v2167,0.5,0.0,0.8,0.0
v2168,0.8,0.0,1.0,0.0
v2169,0.2,0.8,0.5,0.8
v2170,0.9,0.2,0.6,0.1
v2171,0.5,1.0,0.0,1.0
v2172,0.9,0.0,0.9,0.0
v2173,0.4,0.8,0.0,0.4
v2174,0.6,0.7,0.0,0.8
v2175,0.8,0.5,0.5,0.5
v2176,0.6,0.2,0.6,0.0
v2177,0.5,0.0,1.0,0.0
v2178,0.2,0.9,0.0,0.9
v2179,0.1,0.6,0.0,0.8
v2180,0.6,0.4,0.1,0.3
v2181,1.0,0.5,0.0,0.5
v2182,0.8,0.1,0.8,0.1
v2183,0.3,0.0,0.1,0.0
v2184,0.0,0.9,0.6,1.0
v2185,0.5,1.0,0.0,0.9
v2186,0.6,0.5,0.8,0.3
v2187,0.8,0.8,0.7,0.7
v2188,0.0,0.2,0.0,0.2
v2189,0.3,0.9,0.0,0.9
v2190,0.6,0.3,0.9,0.0
v2191,0.6,0.7,0.6,0.7
v2192,1.0,0.0,0.9,0.1
v2193,0.7,0.0,0.9,0.0
v2194,0.5,0.9,0.4,0.5
v2195,0.0,0.0,0.0,0.0
v2196,1.0,0.0,1.0,0.0
v2197,0.3,0.8,0.3,0.7
v2198,0.8,0.0,0.6,0.0
v2199,0.5,0.5,0.6,0.5
v2200,0.5,0.6,0.3,0.4
v2201,0.4,0.9,0.0,0.9
v2202,0.5,0.0,0.0,0.3
v2203,0.8,0.2,1.0,0.0
v2204,0.3,0.4,0.4,0.4
v2205,0.6,0.0,0.0,0.0
v2206,0.8,0.5,0.9,0.5
v2207,0.8,0.0,1.0,0.0
v2208,0.3,0.7,0.0,0.7
v2209,0.5,0.6,0.4,0.4
v2210,0.8,0.0,1.0,0.0
v2211,0.8,0.5,0.3,0.1
v2212,0.8,0.5,0.4,0.5
v2213,0.2,0.7,0.0,0.7
v2214,0.4,0.6,0.0,
v2215,0.8,0.5,0.3,0.5
v2216,1.0,0.3,0.7,0.0
v2217,1.0,0.0,0.7,0.0
v2218,0.2,1.0,0.0,1.0
v2219,0.0,1.0,0.0,1.0
v2220,0.8,0.3,0.7,0.0
v2221,0.7,0.0,1.0,
v2222,0.3,0.8,0.0,0.5
v2223,0.0,0.5,0.0,0.5
v2224,0.3,0.7,0.1,0.6
v2225,0.7,0.0,1.0,0.0
v2226,0.8,0.4,0.6,0.4
v2227,0.4,0.0,0.7,0.0
v2228,0.8,0.3,0.9,0.3
v2229,0.5,0.8,0.8,0.8
v2230,0.0,1.0,0.0,1.0
v2231,0.8,0.1,1.0,0.2
v2232,0.5,0.8,0.0,0.8
v2233,0.8,0.0,1.0,0.0
v2234,0.6,0.1,0.8,0.1
v2235,0.6,0.7,0.6,0.5
v2236,0.5,0.3,0.4,0.3
v2237,0.0,1.0,0.0,1.0
v2238,0.6,0.2,1.0,0.2
v2239,1.0,0.0,0.8,0.0
v2240,0.9,0.0,0.9,0.0
v2241,0.8,0.1,0.8,0.3
v2242,1.0,0.0,0.0,0.0
v2243,0.8,0.1,0.9,0.1
v2244,0.6,0.5,0.5,0.1
v2245,0.9,0.0,0.4,0.0
v2246,0.6,0.8,0.0,0.7
v2247,0.2,0.5,0.5,0.3
v2248,1.0,0.0,1.0,0.0
v2249,0.4,0.8,0.6,0.5
v2250,0.4,0.8,0.2,0.8
v2251,0.0,0.8,0.0,1.0
v2252,0.6,0.3,0.8,0.3
v2253,0.8,0.0,0.9,0.0
v2254,0.3,0.0,0.7,0.0
v2255,0.7,0.3,0.6,0.2
v2256,0.7,0.0,0.0,0.0
v2257,0.4,1.0,0.3,0.9
v2258,0.2,0.7,0.6,0.2
v2259,0.7,0.7,0.7,0.6
v2260,0.2,0.8,0.1,0.8
v2261,0.2,0.5,0.0,0.2
v2262,0.5,0.5,0.7,0.2
v2263,0.1,0.6,0.0,0.6
v2264,0.2,0.3,0.3,0.5
v2265,0.8,0.8,0.4,0.8
v2266,0.5,0.5,0.5,0.5
v2267,0.3,0.5,0.1,
v2268,0.7,0.3,0.7,0.3
v2269,0.6,0.6,0.1,0.5
v2270,0.7,0.3,1.0,0.3
v2271,0.2,0.2,0.0,0.2
v2272,1.0,0.0,1.0,0.0
v2273,0.5,1.0,0.8,0.6
v2274,0.4,0.7,0.2,0.5
v2275,0.7,0.5,0.6,0.5
v2276,0.4,0.7,0.0,0.9
v2277,0.1,0.8,0.0,0.8
v2278,0.6,0.6,0.3,0.7
v2279,0.7,0.7,0.8,0.7
v2280,0.5,0.5,0.5,0.5
v2281,0.9,0.2,0.7,0.1
v2282,0.7,0.6,0.7,0.4
v2283,0.9,0.2,0.8,0.0
v2284,1.0,0.0,0.3,0.3
v2285,0.7,0.8,0.6,0.7
v2286,0.6,0.0,0.8,0.0
v2287,0.5,0.7,0.0,0.5
v2288,0.4,0.7,0.4,0.5
v2289,0.9,0.0,0.7,0.0
v2290,0.5,0.7,0.3,0.6
v2291,0.8,0.5,0.8,0.5
v2292,0.9,0.0,1.0,0.0
v2293,0.8,0.5,0.5,0.5
v2294,0.9,0.2,0.7,0.3
v2295,0.8,0.3,1.0,0.1
v2296,0.8,0.4,0.8,0.4
v2297,0.3,0.3,0.2,0.3
v2298,0.9,0.0,0.7,0.0
v2299,0.7,1.0,0.6,1.0
v2300,0.7,0.0,0.9,0.0
v2301,1.0,1.0,0.0,
v2302,1.0,0.0,1.0,0.0
v2303,0.3,0.8,0.0,0.5
v2304,0.5,0.7,0.3,0.7
v2305,0.9,0.2,0.7,0.1
v2306,1.0,0.2,0.5,0.0
v2307,1.0,0.4,0.5,0.3
v2308,0.8,0.0,0.9,0.0
v2309,0.6,0.3,0.5,
v2310,0.2,0.8,0.0,0.9
v2311,0.4,0.4,1.0,0.4
v2312,0.8,0.3,0.8,0.3
v2313,0.7,0.0,0.8,0.0
v2314,0.0,0.8,0.6,0.3
v2315,0.6,0.6,0.9,0.5
v2316,1.0,0.7,0.4,0.5
v2317,0.8,0.6,0.7,0.6
v2318,0.9,0.9,0.9,0.9
v2319,0.0,0.4,0.0,0.4
v2320,0.0,0.0,0.0,0.0
v2321,0.3,0.2,0.2,0.1
v2322,0.8,0.7,0.7,0.6
v2323,0.4,0.8,0.2,0.8
v2324,0.4,0.8,0.1,0.8
v2325,0.2,0.6,0.3,0.3
v2326,0.6,0.8,0.0,1.0
v2327,0.8,0.4,0.9,0.4
v2328,0.5,0.8,0.0,0.8
v2329,0.7,0.3,0.6,0.2
v2330,0.8,0.4,0.5,0.1
v2331,0.4,0.8,0.0,1.0
v2332,0.5,0.5,0.5,0.5
v2333,0.7,0.3,0.8,0.4
v2334,1.0,0.3,0.3,0.3
v2335,0.7,0.0,0.6,0.0
v2336,0.6,0.8,0.3,0.8
v2337,0.7,0.5,0.5,0.5
v2338,0.5,0.8,0.4,0.6
v2339,0.7,0.3,0.5,0.0
v2340,0.7,0.0,1.0,0.0
v2341,0.6,0.5,0.5,0.5
v2342,0.7,0.7,0.7,0.7
v2343,0.5,0.4,0.6,0.5
v2344,0.4,0.7,0.1,0.8
v2345,1.0,0.9,0.9,0.6
v2346,0.0,0.5,0.5,0.5
v2347,0.7,0.3,0.9,0.5
v2348,0.0,0.7,0.0,0.7
v2349,0.0,0.1,0.0,0.3
v2350,0.4,0.0,0.6,0.0
v2351,0.7,0.7,0.5,0.0
v2352,0.5,0.5,0.0,0.0
v2353,0.2,1.0,0.2,0.8
v2354,0.5,0.5,0.7,0.1
v2355,0.0,0.5,0.0,0.5
v2356,0.9,0.0,1.0,0.0
v2357,0.9,0.0,0.8,0.0
v2358,0.5,0.9,0.0,0.8
v2359,1.0,0.0,1.0,0.0
v2360,0.7,0.6,0.8,0.6
v2361,0.9,0.6,0.3,0.7
v2362,0.5,0.2,0.6,0.1
v2363,1.0,0.0,0.4,0.0
v2364,0.7,0.5,0.4,0.5
v2365,0.7,0.5,0.2,0.0
v2366,0.0,0.0,0.8,0.0
v2367,1.0,0.2,0.8,0.3
v2368,0.3,0.7,0.0,0.7
v2369,1.0,0.0,0.5,0.5
v2370,0.7,0.5,0.5,0.3
v2371,0.5,0.5,0.5,0.5
v2372,0.5,0.8,0.5,0.6
v2373,0.3,0.5,0.1,0.4
v2374,,0.5,0.9,0.5
v2375,0.9,0.3,0.7,0.3
v2376,0.7,0.0,1.0,0.2
v2377,0.2,0.0,0.9,0.0
v2378,0.7,0.3,0.8,0.2
v2379,0.2,0.9,0.2,0.4
v2380,0.7,0.2,0.7,0.2
v2381,0.7,0.7,0.5,0.7
v2382,0.5,0.5,0.6,0.5
v2383,0.9,0.0,0.9,0.5
v2384,0.4,0.7,0.0,0.7
v2385,0.8,0.0,0.9,0.0
v2386,0.5,0.5,0.5,0.5
v2387,0.0,0.6,0.2,0.8
v2388,0.3,0.2,0.0,0.1
v2389,0.2,0.8,0.1,0.8
v2390,0.3,0.7,0.1,0.6
v2391,0.7,0.4,0.8,0.2
v2392,0.4,0.6,0.0,0.5
v2393,0.4,0.7,0.1,0.7
v2394,0.5,0.4,0.5,0.4
v2395,0.8,0.3,0.7,0.3
v2396,0.7,0.2,0.7,0.2
v2397,0.5,0.0,0.6,0.2
v2398,0.5,0.5,0.5,0.5
v2399,0.8,0.3,0.6,0.1
v2400,0.6,0.2,0.9,0.1
v2401,0.7,0.7,0.4,0.4
v2402,0.0,1.0,0.0,1.0
v2403,0.5,0.7,0.5,0.0
v2404,0.3,0.0,0.8,0.0
v2405,0.7,0.7,0.7,0.7
v2406,0.5,0.1,0.9,0.0
v2407,0.6,0.4,0.8,0.1
v2408,0.5,0.5,0.7,0.5
v2409,0.6,0.1,0.3,0.1
v2410,0.6,1.0,0.1,0.8
v2411,0.1,1.0,0.0,0.8
v2412,0.7,0.5,0.7,0.5
v2413,0.0,0.4,0.0,0.4
v2414,0.6,0.3,0.7,0.3
v2415,0.8,0.5,1.0,0.5
v2416,0.7,0.5,0.5,0.4
v2417,0.3,0.8,0.2,0.9
v2418,1.0,0.2,0.9,0.2
v2419,0.6,0.0,1.0,0.0
v2420,0.0,1.0,0.0,0.8
v2421,0.8,0.6,0.1,0.4
v2422,0.3,1.0,0.0,1.0
v2423,0.2,0.8,0.5,0.8
v2424,0.9,1.0,0.0,1.0
v2425,0.2,1.0,0.0,1.0
v2426,0.0,0.4,0.0,0.7
v2427,0.9,0.0,0.5,0.3
v2428,0.9,0.2,0.7,0.2
v2429,0.8,0.2,0.1,0.5
v2430,0.6,0.2,0.5,0.0
v2431,0.5,0.5,0.1,0.5
v2432,0.7,0.6,0.6,0.4
v2433,0.6,0.0,0.6,0.0
v2434,0.7,0.8,0.5,1.0
v2435,0.5,0.8,0.3,0.8
v2436,0.8,0.3,0.6,0.2
v2437,0.7,0.7,0.1,0.5
v2438,0.5,0.9,0.6,0.6
v2439,1.0,0.7,0.4,0.4
v2440,0.7,0.0,1.0,0.0
v2441,0.5,1.0,0.0,1.0
v2442,0.8,0.0,0.8,0.2
v2443,0.7,0.3,0.7,0.3
v2444,1.0,0.0,0.9,0.0
v2445,0.8,0.4,0.5,0.3
v2446,0.8,0.2,0.7,0.2
v2447,0.9,0.5,0.8,0.4
v2448,0.8,0.0,1.0,0.0
v2449,0.1,0.8,0.1,0.5
v2450,0.4,0.7,0.1,0.6
v2451,0.6,0.3,0.4,0.3
v2452,0.8,0.2,0.4,0.2
v2453,0.7,0.0,0.8,0.0
v2454,0.5,0.5,0.5,0.5
v2455,0.9,0.6,0.6,0.4
v2456,0.4,0.4,0.4,0.4
v2457,0.4,0.4,0.6,0.3
v2458,0.6,0.5,0.3,0.3
v2459,0.4,0.5,0.4,0.4
v2460,0.2,0.8,0.0,0.6
v2461,0.0,0.0,0.0,0.0
v2462,1.0,0.0,0.3,0.0
v2463,1.0,0.2,0.6,0.2
v2464,0.7,0.0,1.0,0.0
v2465,0.0,1.0,0.0,1.0
v2466,0.5,0.5,0.5,0.5
v2467,0.0,1.0,0.0,0.9
v2468,1.0,0.7,0.4,0.6
v2469,0.5,0.8,0.2,0.7
v2470,0.8,0.0,1.0,0.0
v2471,0.7,0.5,0.5,0.4
v2472,0.7,0.0,0.8,0.0
v2473,0.5,0.2,0.6,0.2
v2474,0.5,0.5,0.0,0.5
v2475,0.4,0.5,0.0,0.3
v2476,0.3,0.4,0.1,0.4
v2477,0.0,0.6,0.0,0.6
v2478,1.0,0.6,0.5,0.5
v2479,0.7,0.0,1.0,0.0
v2480,0.7,0.9,0.2,0.9
v2481,0.8,0.0,0.6,0.0
v2482,0.9,0.2,0.7,0.1
v2483,0.4,0.9,0.0,0.5
v2484,0.3,0.7,0.0,0.8
v2485,0.8,0.0,0.0,0.0
v2486,0.1,0.5,0.0,0.5
v2487,0.8,0.0,0.5,0.5
v2488,0.6,0.6,0.7,0.5
v2489,0.0,1.0,0.0,1.0
v2490,0.7,0.3,0.0,0.7
v2491,1.0,0.7,0.4,0.6
v2492,0.1,0.8,0.0,0.8
v2493,0.5,0.5,0.5,0.6
v2494,0.8,0.2,0.7,0.1
v2495,0.3,0.7,0.5,0.3
v2496,0.9,0.3,0.7,0.3
v2497,0.9,0.0,1.0,0.0
v2498,0.3,0.9,0.0,0.7
v2499,0.4,0.6,0.5,0.5
v2500,0.4,0.0,1.0,0.0
v2501,0.4,0.6,0.2,0.4
v2502,0.7,0.3,0.7,0.2
v2503,0.5,0.8,0.4,0.5
v2504,1.0,0.0,0.9,0.0
v2505,0.6,0.0,1.0,0.0
v2506,0.5,0.7,0.0,0.8
v2507,0.5,0.4,0.1,0.6
v2508,1.0,0.1,0.8,0.1
v2509,0.8,0.5,0.7,0.6
v2510,0.6,0.8,0.0,0.7
v2511,0.7,0.6,0.5,0.4
v2512,0.5,1.0,0.5,0.5
v2513,1.0,0.0,0.2,0.0
v2514,0.9,0.3,0.5,0.3
v2515,0.0,1.0,0.0,1.0
v2516,0.8,0.2,0.8,0.0
v2517,0.7,0.5,0.7,0.5
v2518,0.6,0.4,0.7,0.2
v2519,0.6,0.4,0.0,0.8
v2520,0.6,0.8,0.1,0.8
v2521,0.5,0.5,0.7,0.2
v2522,1.0,0.2,1.0,0.2
v2523,1.0,0.0,1.0,0.0
v2524,0.9,0.6,0.6,0.4
v2525,1.0,0.2,0.8,0.2
v2526,0.8,0.5,0.2,0.2
v2527,0.2,0.2,0.0,0.1
v2528,0.8,0.1,0.5,0.2
v2529,0.5,0.2,0.8,0.0
v2530,0.5,0.3,0.8,0.2
v2531,0.8,0.0,0.4,0.0
v2532,0.7,0.7,0.7,0.7
v2533,0.8,0.4,0.5,0.4
v2534,0.6,0.4,0.7,0.1
v2535,0.7,0.6,0.7,0.6
v2536,0.8,0.3,0.8,0.5
v2537,0.8,0.8,0.8,0.8
v2538,0.6,0.3,0.5,0.3
v2539,0.2,0.2,0.2,0.2
v2540,0.8,0.3,1.0,0.1
v2541,0.1,1.0,0.0,1.0
v2542,0.7,0.6,0.5,0.4
v2543,0.2,0.2,0.4,0.2
v2544,0.9,0.4,0.6,0.5
v2545,0.8,0.5,0.6,0.2
v2546,1.0,0.0,1.0,0.0
v2547,0.0,1.0,0.0,0.6
v2548,0.8,0.7,0.0,0.6
v2549,0.3,0.8,0.0,0.7
v2550,0.7,0.8,0.4,0.5
v2551,0.1,1.0,0.0,1.0
v2552,0.8,0.7,0.9,0.7
v2553,0.4,0.7,0.6,0.6
v2554,0.9,0.9,0.9,0.0
v2555,0.2,0.4,0.0,0.4
v2556,0.7,0.0,1.0,0.0
v2557,0.6,0.5,0.0,0.3
v2558,0.4,0.7,0.0,0.6
v2559,0.0,0.0,0.2,0.2
v2560,0.5,0.0,0.5,0.0
v2561,0.8,0.0,1.0,0.0
v2562,0.0,1.0,0.6,0.7
v2563,0.4,0.3,0.3,0.2
v2564,0.4,1.0,0.0,1.0
v2565,0.5,0.9,0.1,0.7
v2566,0.3,0.0,0.2,0.0
v2567,0.5,0.5,0.5,0.4
v2568,0.2,1.0,0.5,0.8
v2569,0.6,0.4,0.8,0.3
v2570,0.4,1.0,0.1,0.8
v2571,0.9,0.4,0.5,0.3
v2572,0.5,0.8,0.5,0.5
v2573,0.3,0.3,0.8,0.5
v2574,0.7,0.2,0.9,0.0
v2575,0.7,0.0,0.9,0.0
v2576,0.6,0.6,0.6,0.6
v2577,0.5,0.9,0.0,0.6
v2578,0.1,0.5,0.1,0.5
v2579,0.7,0.4,0.3,0.2
v2580,0.7,0.0,0.8,0.0
v2581,0.8,0.4,0.5,0.4
v2582,0.5,0.5,0.5,0.5
v2583,0.7,0.0,1.0,0.0
v2584,0.6,0.3,0.4,0.0
v2585,0.6,0.4,0.6,0.1
v2586,0.4,0.7,0.0,0.9
v2587,0.6,0.0,0.8,0.0
v2588,0.0,0.7,0.2,0.9
v2589,0.2,0.0,0.9,0.0
v2590,0.7,0.5,0.6,0.0
v2591,0.5,0.5,0.7,0.5
v2592,0.5,0.5,0.0,
v2593,1.0,0.0,0.8,0.0
v2594,0.3,0.8,0.3,1.0
v2595,0.8,0.6,0.5,0.5
v2596,0.2,0.9,0.0,0.8
v2597,0.5,0.9,0.2,0.2
v2598,0.1,1.0,0.1,1.0
v2599,0.7,0.2,0.6,0.1
v2600,0.6,0.5,0.6,0.3
v2601,0.5,0.0,0.5,0.0
v2602,0.8,0.0,0.1,0.3
v2603,0.3,0.0,0.6,0.0
v2604,0.9,0.0,0.9,0.0
v2605,0.1,0.8,0.2,0.1
v2606,0.3,0.8,0.5,0.3
v2607,0.1,0.4,0.0,0.1
v2608,0.0,0.0,0.0,0.0
v2609,0.9,0.2,1.0,0.0
v2610,0.2,0.7,0.1,0.7
v2611,0.5,0.9,0.6,0.9
v2612,0.0,0.8,0.0,0.7
v2613,0.0,1.0,0.0,1.0
v2614,0.6,0.1,0.2,0.2
v2615,0.7,0.7,0.2,0.7
v2616,0.7,0.0,0.9,0.0
v2617,0.2,0.2,0.0,0.9
v2618,0.9,0.5,1.0,0.5
v2619,0.5,0.5,0.6,0.4
v2620,0.8,0.5,0.7,0.4
v2621,0.3,1.0,0.7,0.8
v2622,0.5,0.6,0.3,0.4
v2623,0.0,0.0,0.1,0.0
v2624,0.0,0.8,0.0,0.5
v2625,1.0,0.0,0.8,0.5
v2626,0.5,0.5,0.4,0.3
v2627,0.7,0.4,0.5,0.3
v2628,0.0,0.4,0.0,0.7
v2629,0.8,0.2,0.7,0.0
v2630,0.3,0.5,0.1,0.3
v2631,1.0,0.1,1.0,0.1
v2632,0.4,0.3,0.4,0.1
v2633,0.5,0.9,0.0,0.9
v2634,0.9,0.0,0.9,0.0
v2635,0.9,0.0,0.8,0.0
v2636,0.4,0.7,0.0,0.6
v2637,0.4,0.4,0.1,0.1
v2638,0.7,0.4,0.7,0.2
v2639,0.7,0.7,0.8,0.8
v2640,0.9,0.0,0.8,0.0
v2641,0.4,0.8,0.0,0.8
v2642,0.7,0.4,0.2,0.4
v2643,0.4,0.7,0.0,0.7
v2644,0.7,0.1,0.7,0.1
v2645,0.8,0.5,0.6,0.5
v2646,0.7,0.6,0.5,0.5
v2647,0.4,0.7,0.6,0.5
v2648,0.7,0.4,0.7,0.4
v2649,0.5,0.4,0.7,0.3
v2650,0.6,0.6,0.6,0.6
v2651,0.7,0.0,0.9,0.0
v2652,0.7,0.4,0.5,0.4
v2653,0.5,0.8,0.1,0.7
v2654,0.4,0.7,0.4,0.6
v2655,1.0,0.0,0.4,0.1
v2656,0.5,0.8,0.4,0.8
v2657,0.7,0.6,0.3,0.6
v2658,0.7,0.3,0.7,0.3
v2659,0.8,0.3,0.6,0.3
v2660,0.4,0.6,0.5,0.7
v2661,0.3,0.6,0.0,0.5
v2662,1.0,0.0,1.0,0.0
v2663,0.8,0.5,0.7,0.6
v2664,0.7,0.5,0.7,0.3
v2665,0.8,0.0,1.0,0.0
v2666,0.3,0.1,0.0,0.0
v2667,0.9,0.4,0.2,0.4
v2668,1.0,0.3,1.0,0.3
v2669,0.6,0.3,0.7,0.2
v2670,0.9,0.5,0.4,0.4
v2671,0.7,0.0,0.9,0.0
v2672,0.9,0.4,0.9,0.4
v2673,0.7,0.4,1.0,0.0
v2674,0.8,0.0,0.6,0.2
v2675,0.8,0.2,0.0,0.4
v2676,0.8,0.1,0.9,0.0
v2677,0.4,0.7,0.2,0.6
v2678,0.0,1.0,0.0,1.0
v2679,0.6,0.6,0.5,0.5
v2680,1.0,0.0,0.7,0.1
v2681,0.7,0.7,0.3,0.0
v2682,0.5,0.7,0.2,0.6
v2683,0.2,0.6,0.0,0.8
v2684,0.3,0.7,0.5,0.3
v2685,0.4,0.7,0.3,0.5
v2686,0.7,0.2,1.0,0.0
v2687,1.0,0.0,1.0,0.0
v2688,1.0,0.0,1.0,0.0
v2689,0.8,0.1,0.0,0.1
v2690,0.9,0.7,0.8,0.3
v2691,1.0,0.3,0.9,0.6
v2692,0.2,0.7,0.0,0.2
v2693,0.4,0.5,0.2,0.5
v2694,,0.0,0.8,0.8
v2695,0.5,0.3,0.6,0.2
v2696,0.0,0.8,0.0,0.8
v2697,0.7,0.5,0.6,0.3
v2698,1.0,0.0,0.6,0.3
v2699,0.1,0.8,0.0,1.0
v2700,1.0,0.3,0.7,0.0
v2701,0.0,1.0,0.0,0.0
v2702,0.7,0.0,0.7,0.0
v2703,0.8,0.0,1.0,0.0
v2704,0.7,0.3,0.7,0.1
v2705,0.8,0.0,0.5,0.4
v2706,0.6,0.8,0.4,0.8
v2707,0.8,0.3,0.6,0.3
v2708,0.6,0.2,0.8,0.2
v2709,0.6,0.5,0.2,0.2
v2710,1.0,0.8,0.6,0.6
v2711,0.7,0.8,0.6,0.8
v2712,0.8,0.5,0.2,0.2
v2713,0.5,0.8,0.2,
v2714,0.3,0.3,0.0,0.0
v2715,0.6,0.6,0.6,0.6
v2716,0.4,0.8,0.0,0.8
v2717,0.5,0.5,0.5,0.5
v2718,0.0,1.0,0.0,0.9
v2719,0.0,1.0,0.0,0.8
v2720,0.7,0.3,0.9,0.3
v2721,0.5,0.7,0.3,0.6
v2722,0.7,0.5,0.3,0.5
v2723,0.4,0.8,0.0,0.7
v2724,0.2,0.0,0.4,0.0
v2725,0.7,0.2,1.0,0.2
v2726,0.9,0.1,0.8,0.1
v2727,0.1,0.9,0.9,0.9
v2728,0.9,0.9,0.7,0.8
v2729,0.8,0.2,0.8,0.5
v2730,0.2,1.0,0.2,0.7
v2731,0.0,0.6,0.1,0.6
v2732,0.3,1.0,0.0,0.9
v2733,0.0,0.0,0.2,0.0
v2734,0.8,0.0,0.7,0.0
v2735,0.8,0.0,0.6,0.0
v2736,0.0,0.6,0.0,0.7
v2737,0.6,0.0,0.4,0.0
v2738,0.6,0.4,0.6,0.2
v2739,0.9,0.9,0.0,0.9
v2740,0.4,0.0,0.8,0.0
v2741,0.2,0.8,0.2,0.5
v2742,0.3,0.5,0.3,0.5
v2743,0.6,0.4,0.8,0.2
v2744,0.7,0.8,0.7,0.7
v2745,0.7,0.0,0.9,0.0
v2746,1.0,0.0,1.0,0.0
v2747,0.2,0.7,0.2,0.4
v2748,0.7,0.8,0.8,0.5
v2749,0.9,0.6,0.7,0.3
v2750,0.8,0.8,0.9,0.5
v2751,0.8,0.3,0.8,0.3
v2752,1.0,0.0,0.9,0.1
v2753,0.7,0.9,0.5,0.8
v2754,0.5,0.5,0.5,0.5
v2755,0.6,0.5,0.7,0.6
v2756,1.0,0.0,0.7,0.0
v2757,0.8,0.3,0.8,0.3
v2758,0.8,0.6,0.6,0.6
v2759,0.8,0.8,0.5,
v2760,0.2,0.2,0.0,0.0
v2761,0.7,0.7,0.8,0.7
v2762,0.8,0.3,0.7,0.2
v2763,1.0,0.0,0.9,0.0
v2764,1.0,0.0,0.5,0.5
v2765,0.6,0.6,0.4,0.7
v2766,0.2,0.0,0.7,0.0
v2767,0.9,0.4,0.6,0.4
v2768,1.0,0.5,0.9,0.5
v2769,1.0,0.0,0.5,0.0
v2770,1.0,0.0,0.8,0.2
v2771,0.4,0.5,0.0,0.6
v2772,0.5,0.0,1.0,0.0
v2773,0.5,0.4,1.0,0.3
v2774,0.5,0.0,0.5,0.7
v2775,0.4,0.2,0.6,0.3
v2776,0.9,0.2,0.9,0.0
v2777,1.0,0.7,0.9,0.8
v2778,0.7,0.5,1.0,0.0
v2779,0.9,0.3,0.8,0.2
v2780,0.8,0.7,0.6,0.6
v2781,0.2,1.0,0.0,1.0
v2782,0.2,0.8,0.0,1.0
v2783,0.7,0.8,0.4,0.6
v2784,0.7,0.7,0.3,0.4
v2785,0.5,0.0,1.0,0.0
v2786,0.6,0.8,0.7,0.7
v2787,0.8,0.7,0.8,0.3
v2788,0.9,0.7,0.5,0.6
v2789,0.8,0.0,0.8,0.0
v2790,0.7,0.0,0.8,0.0
v2791,0.9,0.2,0.9,0.2
v2792,0.6,0.2,1.0,0.1
v2793,0.1,1.0,0.1,0.9
v2794,0.7,0.8,0.6,0.8
v2795,0.1,0.1,1.0,0.1
v2796,1.0,0.1,0.6,0.3
v2797,0.6,0.0,0.7,0.3
v2798,0.2,0.8,0.2,0.7
v2799,0.7,0.6,0.6,0.6
v2800,0.5,0.9,0.0,0.9
v2801,0.4,0.7,0.5,0.7
v2802,0.8,0.5,0.8,
v2803,0.6,0.6,0.6,0.4
v2804,0.5,0.5,0.3,0.5
v2805,0.5,0.5,0.8,0.5
v2806,0.8,0.2,0.8,0.2
v2807,0.5,0.5,0.5,0.5
v2808,0.9,0.7,0.0,0.2
v2809,0.5,0.5,0.0,0.4
v2810,1.0,0.0,0.9,0.0
v2811,0.4,1.0,0.0,0.9
v2812,0.7,0.0,0.5,0.0
v2813,0.4,0.8,0.5,0.5
v2814,0.8,0.1,0.9,0.1
v2815,0.0,1.0,0.0,0.3
v2816,0.4,0.4,0.4,0.6
v2817,0.6,0.5,0.7,0.0
v2818,0.8,0.4,0.6,0.4
v2819,0.1,1.0,0.0,1.0
v2820,0.5,0.8,0.2,0.8
v2821,0.2,0.8,0.0,0.9
v2822,1.0,0.1,0.8,0.5
v2823,0.3,0.7,0.0,0.7
v2824,0.4,0.4,0.0,0.0
v2825,0.2,0.8,0.0,0.8
v2826,0.5,0.5,1.0,0.5
v2827,0.6,0.6,0.0,0.6
v2828,0.8,0.0,0.9,0.0
v2829,0.4,0.7,0.0,0.8
v2830,0.5,0.8,0.5,0.8
v2831,0.9,0.0,0.9,0.0
v2832,1.0,0.0,0.2,0.0
v2833,0.0,0.0,0.0,0.0
v2834,0.8,0.7,0.4,0.4
v2835,0.7,0.2,0.8,0.3
v2836,0.1,1.0,0.0,1.0
v2837,0.1,0.0,0.2,0.0
v2838,0.6,1.0,,
v2839,0.3,0.6,0.1,0.7
v2840,0.5,0.5,0.5,0.5
v2841,0.0,1.0,0.0,1.0
v2842,0.5,0.3,0.1,0.5
v2843,0.5,0.8,0.0,0.0
v2844,0.8,0.1,0.9,0.0
v2845,0.6,0.0,0.9,0.0
v2846,1.0,0.0,0.7,0.0
v2847,0.7,0.3,0.5,0.3
v2848,0.6,0.2,0.8,0.0
v2849,0.7,0.6,0.4,0.0
v2850,0.5,0.0,0.4,0.0
v2851,0.8,0.0,0.7,0.0
v2852,0.2,0.8,0.0,1.0
v2853,0.7,0.0,0.7,0.0
v2854,0.5,0.5,0.3,0.4
v2855,0.4,0.6,0.4,0.6
